Firm,ActionCompany,Ranking,Price Ranking
Cowen and Company,Boost Price Target,Agilent Technologies Inc. (A),,$57.00 -> $65.00
JPMorgan Chase & Co.,Boost Price Target,Apple Inc. (AAPL),,$600.00 -> $615.00
Imperial Capital,Boost Price Target,ABM Industries Inc. (ABM),In-Line,$26.00 -> $29.50
Sterne Agee,Reiterated Rating,Arch Coal Inc. (ACI),Buy,$4.08 -> $7.00
Zacks,Upgrade,Advent Software Inc. (ADVS),Underperform -> Neutral,$35.20
Craig Hallum,Downgrade,Aegion Corp (AEGN),Buy -> Hold,
Goldman Sachs Group Inc.,Cut Estimates,AGCO Corp. (AGCO),Conviction-Buy,$57.00
BMO Capital Markets,Lower Price Target,AGCO Corp. (AGCO),,$66.00 -> $65.00
RBC Capital,Boost Price Target,Asanko Gold Inc (AKG),Sector Perform,C$2.40 -> C$2.50
CIBC,Reiterated Rating,Asanko Gold Inc (AKG),Sector Perform,
Scotiabank,Initiated Coverage,Asanko Gold Inc (AKG),Sector Perform,C$3.25
UBS AG,Initiated Coverage,Alaska Air Group Inc. (ALK),Buy,$99.00
JMP Securities,Initiated Coverage,Alere Inc. (ALR),Mkt Perform -> Outperform,$45.00
Zacks,Downgrade,American National Bankshares Inc. (AMNB),Outperform -> Neutral,$27.50
Citigroup Inc.,Initiated Coverage,Arc Logistics Partners LP (ARCX),Buy,$22.50
Jefferies Group,Initiated Coverage,Arrowhead Research Corp (ARWR),Buy,$15.00
Bank of America Corp.,Downgrade,Avon Products Inc. (AVP),Buy -> Neutral,$22.50 -> $18.50
Merrill Lynch,Downgrade,Avon Products Inc. (AVP),Neutral,
Goldman Sachs Group Inc.,Initiated Coverage,HomeAway Inc. (AWAY),Neutral,$38.00
Bank of America Corp.,Reiterated Rating,American Water Works Co. (AWK),Buy,$47.00 -> $48.00
SunTrust,Initiated Coverage,American Express Co. (AXP),Buy,
Clarkson Capital,Initiated Coverage,BHP Billiton (BHP),Outperform,
Barclays,Lower Price Target,BorgWarner Inc. (BWA),Overweight,$112.00 -> $56.00
Robert W. Baird,Lower Price Target,BorgWarner Inc. (BWA),,$62.00 -> $60.00
Deutsche Bank,Reiterated Rating,Buffalo Wild Wings Inc. (BWLD),Buy,$150.00 -> $155.00
Citigroup Inc.,Reiterated Rating,The Blackstone Group L.P. (BX),Buy,$33.00 -> $35.00
JPMorgan Chase & Co.,Initiated Coverage,Crown Castle International Corp. (CCI),Overweight -> Neutral,$85.00
Bank of America Corp.,Reiterated Rating,CareFusion Corp. (CFN),Buy,$43.00 -> $45.00
Raymond James,Downgrade,Compagnie Generale de Gephysqu Vrts SA (CGG),Outperform -> Market Perform,
Societe Generale,Downgrade,Compagnie Generale de Gephysqu Vrts SA (CGG),Buy -> Hold,
Natixis,Downgrade,Compagnie Generale de Gephysqu Vrts SA (CGG),Buy -> Neutral,
BB&T Corp.,Initiated Coverage,Cognex Corp. (CGNX),Buy,$45.00
MKM Partners,Boost Price Target,Choice Hotels International Inc. (CHH),Neutral,$39.00 -> $44.00
SunTrust,Initiated Coverage,Chemtura Corp. (CHMT),Buy,$33.00
Clarkson Capital,Initiated Coverage,Cliffs Natural Resources Inc. (CLF),Market Perform,
Deutsche Bank,Reiterated Rating,Chipotle Mexican Grill Inc. (CMG),Hold,$440.00 -> $500.00
Zacks,Upgrade,Cohen & Steers Inc. (CNS),Underperform -> Neutral,$38.90
JMP Securities,Initiated Coverage,Cepheid (CPHD),Market Perform,
Zacks,Upgrade,CPFL Energia SA (CPL),Underperform -> Neutral,$16.80
Zacks,Downgrade,Central Valley Community Bancorp (CVCY),Outperform -> Neutral,$12.30
ISI Group,Reiterated Rating,CVS Caremark Corp. (CVS),In-Line,
UBS AG,Initiated Coverage,Delta Air Lines Inc. (DAL),Buy -> Buy,$39.00
Cantor Fitzgerald,Initiated Coverage,Tableau Software (DATA),Buy,$88.00
JMP Securities,Boost Price Target,Depomed Inc. (DEPO),Outperform,$10.00 -> $11.00
SunTrust,Initiated Coverage,Discover Financial Services (DFS),Neutral,
JMP Securities,Initiated Coverage,Quest Diagnostics Inc. (DGX),Market Perform,
William Blair,Initiated Coverage,Dorman Products Inc. (DORM),Outperform,
Avondale Partners,Downgrade,DST Systems Inc. (DST),Outperform -> Market Perform,
Jefferies Group,Downgrade,El Paso Electric Co. (EE),Buy -> Hold,$40.00 -> $37.00
Credit Suisse,Reiterated Rating,Enbridge Energy Partners LP (EEP),Neutral,
Zacks,Downgrade,Electronics for Imaging Inc. (EFII),Outperform -> Neutral,$43.40
